
        SystemC 2.3.3-Accellera --- Dec 26 2023 21:41:07
        Copyright (c) 1996-2018 by all Contributors,
        ALL RIGHTS RESERVED
[ 38799610 ns] [top.task_PE_3] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 256, index = 0, nodes processed = 978783
[ 39093328 ns] [top.task_PE_9] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 256, index = 0, nodes processed = 986284
[ 39387488 ns] [top.task_PE_6] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 256, index = 0, nodes processed = 993865
[ 39680682 ns] [top.task_PE_5] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 256, index = 2, nodes processed = 1001337
[ 39975744 ns] [top.task_PE_4] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 256, index = 0, nodes processed = 1008925
[ 40269526 ns] [top.task_PE_7] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 256, index = 1, nodes processed = 1016455
[ 40563372 ns] [top.task_PE_14] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 256, index = 0, nodes processed = 1023974
[ 40858224 ns] [top.task_PE_20] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 256, index = 0, nodes processed = 1031508
[ 41153338 ns] [top.task_PE_7] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 256, index = 0, nodes processed = 1039155
[ 41447976 ns] [top.task_PE_15] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 256, index = 1, nodes processed = 1046684
[ 41741300 ns] [top.task_PE_17] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 256, index = 1, nodes processed = 1054175
[ 42035660 ns] [top.task_PE_21] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 256, index = 0, nodes processed = 1061754
[ 42329680 ns] [top.task_PE_20] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 256, index = 0, nodes processed = 1069319
[ 42625554 ns] [top.task_PE_14] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 256, index = 0, nodes processed = 1076971
[ 42920982 ns] [top.task_PE_15] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 256, index = 0, nodes processed = 1084559
[ 43214966 ns] [top.task_PE_2] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 256, index = 0, nodes processed = 1092068
[ 43508430 ns] [top.task_PE_4] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 256, index = 0, nodes processed = 1099604
[ 43803574 ns] [top.task_PE_4] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 256, index = 0, nodes processed = 1107203
[ 44099972 ns] [top.task_PE_18] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 256, index = 1, nodes processed = 1114920
[ 44395500 ns] [top.task_PE_22] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 256, index = 0, nodes processed = 1122488
[ 44690998 ns] [top.task_PE_13] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 256, index = 0, nodes processed = 1130129
[ 44985860 ns] [top.task_PE_3] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 256, index = 0, nodes processed = 1137744
[ 45283276 ns] [top.task_PE_13] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 256, index = 0, nodes processed = 1145509
[ 45578292 ns] [top.task_PE_12] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 256, index = 0, nodes processed = 1153098
[ 45873044 ns] [top.task_PE_20] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 256, index = 0, nodes processed = 1160688
[ 46170616 ns] [top.task_PE_2] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 256, index = 0, nodes processed = 1168423
[ 46467910 ns] [top.task_PE_22] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 256, index = 0, nodes processed = 1176169
[ 46763130 ns] [top.task_PE_23] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 256, index = 0, nodes processed = 1183778
[ 47058262 ns] [top.task_PE_18] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 256, index = 0, nodes processed = 1191378
[ 47355096 ns] [top.task_PE_17] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 256, index = 0, nodes processed = 1199107
[ 47652810 ns] [top.task_PE_2] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 256, index = 0, nodes processed = 1206875
[ 47947722 ns] [top.task_PE_18] [void paper_exp2::task_pe::stage0()] received task: depth = 2, delay = 256, index = 1, nodes processed = 1214480
[ 48242376 ns] [top.task_PE_8] [void paper_exp2::task_pe::stage0()] received task: depth = 2, delay = 256, index = 0, nodes processed = 1222059
[ 48530778 ns] [top.task_PE_21] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 256, index = 0, nodes processed = 1229211
[ 48823092 ns] [top.task_PE_10] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 256, index = 0, nodes processed = 1236642
[ 49115392 ns] [top.task_PE_18] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 256, index = 0, nodes processed = 1244051
[ 49407818 ns] [top.task_PE_5] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 256, index = 0, nodes processed = 1251493
[ 49701182 ns] [top.task_PE_14] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 256, index = 0, nodes processed = 1258975
[ 49997272 ns] [top.task_PE_21] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 256, index = 2, nodes processed = 1266627
[ 50292926 ns] [top.task_PE_6] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 256, index = 0, nodes processed = 1274279
[ 50584536 ns] [top.task_PE_13] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 256, index = 0, nodes processed = 1281613
[ 50873476 ns] [top.task_PE_8] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 256, index = 0, nodes processed = 1288848
[ 51164982 ns] [top.task_PE_6] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 256, index = 0, nodes processed = 1296228
[ 51455752 ns] [top.task_PE_4] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 256, index = 1, nodes processed = 1303494
[ 51747754 ns] [top.task_PE_7] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 256, index = 0, nodes processed = 1310902
[ 52040096 ns] [top.task_PE_6] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 256, index = 1, nodes processed = 1318364
[ 52333386 ns] [top.task_PE_10] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 256, index = 1, nodes processed = 1325812
[ 52626258 ns] [top.task_PE_2] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 256, index = 0, nodes processed = 1333310
[ 52920148 ns] [top.task_PE_1] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 256, index = 2, nodes processed = 1340794
[ 53211612 ns] [top.task_PE_11] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 256, index = 0, nodes processed = 1348174
[ 53503952 ns] [top.task_PE_2] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 256, index = 0, nodes processed = 1355629
[ 53796834 ns] [top.task_PE_1] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 256, index = 0, nodes processed = 1363042
[ 54088892 ns] [top.task_PE_22] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 256, index = 0, nodes processed = 1370499
[ 54382848 ns] [top.task_PE_10] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 256, index = 0, nodes processed = 1377958
[ 54674868 ns] [top.task_PE_4] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 256, index = 0, nodes processed = 1385363
[ 54968724 ns] [top.task_PE_18] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 256, index = 0, nodes processed = 1392879
[ 55261428 ns] [top.task_PE_21] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 256, index = 0, nodes processed = 1400338
[ 55554186 ns] [top.task_PE_5] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 256, index = 0, nodes processed = 1407803
[ 55848682 ns] [top.task_PE_17] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 256, index = 2, nodes processed = 1415374
[ 56141834 ns] [top.task_PE_5] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 256, index = 0, nodes processed = 1422849
[ 56435564 ns] [top.task_PE_6] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 256, index = 0, nodes processed = 1430358
[ 56730448 ns] [top.task_PE_21] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 256, index = 0, nodes processed = 1437940
[ 57025516 ns] [top.task_PE_21] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 256, index = 0, nodes processed = 1445505
[ 57319834 ns] [top.task_PE_11] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 256, index = 0, nodes processed = 1453117
[ 57614472 ns] [top.task_PE_22] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 256, index = 0, nodes processed = 1460655
[ 57908328 ns] [top.task_PE_9] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 256, index = 0, nodes processed = 1468159
[ 58204984 ns] [top.task_PE_19] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 256, index = 2, nodes processed = 1475869
