
        SystemC 2.3.3-Accellera --- Dec 26 2023 21:41:07
        Copyright (c) 1996-2018 by all Contributors,
        ALL RIGHTS RESERVED
[  3013990 ns] [top.task_PE_8] [void paper_exp2::task_pe::stage0()] received task: depth = 2, delay = 16, index = 2, nodes processed = 845739
[  3038888 ns] [top.task_PE_1] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 16, index = 0, nodes processed = 853368
[  3065936 ns] [top.task_PE_14] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 16, index = 0, nodes processed = 860763
[  3093196 ns] [top.task_PE_17] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 16, index = 0, nodes processed = 868191
[  3119526 ns] [top.task_PE_1] [void paper_exp2::task_pe::stage0()] received task: depth = 2, delay = 16, index = 2, nodes processed = 875652
[  3146166 ns] [top.task_PE_12] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 16, index = 0, nodes processed = 883116
[  3172294 ns] [top.task_PE_8] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 16, index = 0, nodes processed = 890640
[  3198212 ns] [top.task_PE_5] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 16, index = 0, nodes processed = 898163
[  3223850 ns] [top.task_PE_4] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 16, index = 0, nodes processed = 905737
[  3249594 ns] [top.task_PE_16] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 16, index = 0, nodes processed = 913326
[  3276456 ns] [top.task_PE_1] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 16, index = 0, nodes processed = 920717
[  3302264 ns] [top.task_PE_14] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 16, index = 2, nodes processed = 928276
[  3327636 ns] [top.task_PE_3] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 16, index = 0, nodes processed = 935854
[  3353778 ns] [top.task_PE_1] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 16, index = 1, nodes processed = 943361
[  3379932 ns] [top.task_PE_16] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 16, index = 0, nodes processed = 950884
[  3405622 ns] [top.task_PE_9] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 16, index = 0, nodes processed = 958409
