Copyright 1986-2022 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------------------------------------------------------------------------
| Tool Version : Vivado v.2022.2 (lin64) Build 3671981 Fri Oct 14 04:59:54 MDT 2022
| Date         : Sun Jan 14 21:29:02 2024
| Host         : inf139-desktop running 64-bit Ubuntu 22.04.3 LTS
| Command      : report_utilization -hierarchical -hierarchical_depth 8 -hierarchical_percentages -file hdl_8_1_1_2/utilization_hier_perc.post_pr.txt
| Design       : fullSysGen
| Device       : xcu280-fsvh2892-2L-e
| Speed File   : -2L
| Design State : Physopt postRoute
------------------------------------------------------------------------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+--------------------------------------+----------------------------+--------------+--------------+-------------+----------+--------------+-----------+----------+----------+------------+
|               Instance               |           Module           |  Total LUTs  |  Logic LUTs  |   LUTRAMs   |   SRLs   |      FFs     |   RAMB36  |  RAMB18  |   URAM   | DSP Blocks |
|       taskQueues_1                   |                hw_deque_35 |   221(0.02%) |   221(0.02%) |    0(0.00%) | 0(0.00%) |    22(0.01%) |  7(0.35%) | 1(0.02%) | 0(0.00%) |   0(0.00%) |
|         (taskQueues_1)               |                hw_deque_35 |    77(0.01%) |    77(0.01%) |    0(0.00%) | 0(0.00%) |    22(0.01%) |  0(0.00%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|         bramMem                      |            DualPortBRAM_52 |   148(0.01%) |   148(0.01%) |    0(0.00%) | 0(0.00%) |     0(0.00%) |  7(0.35%) | 1(0.02%) | 0(0.00%) |   0(0.00%) |
|           xpm_memory_tdpram_inst     |       xpm_memory_tdpram_53 |   148(0.01%) |   148(0.01%) |    0(0.00%) | 0(0.00%) |     0(0.00%) |  7(0.35%) | 1(0.02%) | 0(0.00%) |   0(0.00%) |
|             (xpm_memory_tdpram_inst) |       xpm_memory_tdpram_53 |   148(0.01%) |   148(0.01%) |    0(0.00%) | 0(0.00%) |     0(0.00%) |  0(0.00%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|             xpm_memory_base_inst     |         xpm_memory_base__5 |     0(0.00%) |     0(0.00%) |    0(0.00%) | 0(0.00%) |     0(0.00%) |  7(0.35%) | 1(0.02%) | 0(0.00%) |   0(0.00%) |
|       taskQueues_2                   |                hw_deque_36 |   222(0.02%) |   222(0.02%) |    0(0.00%) | 0(0.00%) |    22(0.01%) |  7(0.35%) | 1(0.02%) | 0(0.00%) |   0(0.00%) |
|         (taskQueues_2)               |                hw_deque_36 |    77(0.01%) |    77(0.01%) |    0(0.00%) | 0(0.00%) |    22(0.01%) |  0(0.00%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|         bramMem                      |            DualPortBRAM_50 |   148(0.01%) |   148(0.01%) |    0(0.00%) | 0(0.00%) |     0(0.00%) |  7(0.35%) | 1(0.02%) | 0(0.00%) |   0(0.00%) |
|           xpm_memory_tdpram_inst     |       xpm_memory_tdpram_51 |   148(0.01%) |   148(0.01%) |    0(0.00%) | 0(0.00%) |     0(0.00%) |  7(0.35%) | 1(0.02%) | 0(0.00%) |   0(0.00%) |
|             (xpm_memory_tdpram_inst) |       xpm_memory_tdpram_51 |   148(0.01%) |   148(0.01%) |    0(0.00%) | 0(0.00%) |     0(0.00%) |  0(0.00%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|             xpm_memory_base_inst     |         xpm_memory_base__6 |     0(0.00%) |     0(0.00%) |    0(0.00%) | 0(0.00%) |     0(0.00%) |  7(0.35%) | 1(0.02%) | 0(0.00%) |   0(0.00%) |
|       taskQueues_3                   |                hw_deque_37 |   222(0.02%) |   222(0.02%) |    0(0.00%) | 0(0.00%) |    22(0.01%) |  7(0.35%) | 1(0.02%) | 0(0.00%) |   0(0.00%) |
|         (taskQueues_3)               |                hw_deque_37 |    77(0.01%) |    77(0.01%) |    0(0.00%) | 0(0.00%) |    22(0.01%) |  0(0.00%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|         bramMem                      |            DualPortBRAM_48 |   148(0.01%) |   148(0.01%) |    0(0.00%) | 0(0.00%) |     0(0.00%) |  7(0.35%) | 1(0.02%) | 0(0.00%) |   0(0.00%) |
|           xpm_memory_tdpram_inst     |       xpm_memory_tdpram_49 |   148(0.01%) |   148(0.01%) |    0(0.00%) | 0(0.00%) |     0(0.00%) |  7(0.35%) | 1(0.02%) | 0(0.00%) |   0(0.00%) |
|             (xpm_memory_tdpram_inst) |       xpm_memory_tdpram_49 |   148(0.01%) |   148(0.01%) |    0(0.00%) | 0(0.00%) |     0(0.00%) |  0(0.00%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|             xpm_memory_base_inst     |         xpm_memory_base__7 |     0(0.00%) |     0(0.00%) |    0(0.00%) | 0(0.00%) |     0(0.00%) |  7(0.35%) | 1(0.02%) | 0(0.00%) |   0(0.00%) |
|       taskQueues_4                   |                hw_deque_38 |   222(0.02%) |   222(0.02%) |    0(0.00%) | 0(0.00%) |    22(0.01%) |  7(0.35%) | 1(0.02%) | 0(0.00%) |   0(0.00%) |
|         (taskQueues_4)               |                hw_deque_38 |    77(0.01%) |    77(0.01%) |    0(0.00%) | 0(0.00%) |    22(0.01%) |  0(0.00%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
